X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
399622.270000003,134352.620000001,24093246,2024/06/19 14:52:56+00,DAY,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622.27,134352.62,8,8F,1,106,Cluster 27,007203 1,007203,Precinct 131,38.8770044023,-77.004353141,CAPITOL RIVERFRONT,2024/06/19 14:50:00+00,2024/06/19 14:52:00+00,679448603,
398579.1351,134828.399999999,24131497,2024/08/27 01:13:37+00,EVENING,OTHERS,THEFT F/AUTO,300 - 399 BLOCK OF G STREET SW,398579.135068634,134828.399994551,6,6D,1,103,Cluster 9,010500 2,010500,Precinct 128,38.8812893478,-77.0163757098,SOUTHWEST,2024/08/26 18:51:00+00,2024/08/26 20:14:00+00,679448604,
396836.049999997,139850.460000001,24120734,2024/08/07 07:10:35+00,MIDNIGHT,OTHERS,THEFT/OTHER,16TH STREET NW AND COLUMBIA ROAD NW,396836.05001102,139850.45999921,1,1C,3,302,Cluster 2,003901 1,003901,Precinct 39,38.9265252835,-77.0364881945,,2024/08/04 01:00:00+00,2024/08/04 01:30:00+00,679449098,
398010.079999998,138818.940000001,24168124,2024/10/30 03:40:30+00,MIDNIGHT,OTHERS,THEFT/OTHER,2000 - 2099 BLOCK OF 8TH STREET NW,398010.08,138818.94,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.917236462,-77.0229457261,,2024/10/29 04:00:00+00,2024/10/29 20:00:00+00,679449103,
397424.68,141258.25,24172277,2024/11/05 23:15:06+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3900 - 3999 BLOCK OF 13TH STREET NW,397424.68,141258.25,4,4C,,404,Cluster 18,002503 1,002503,Precinct 47,38.9392090053,-77.0297051135,,2024/11/05 22:22:00+00,,679449104,
394459.18,141888.039999999,24179469,2024/11/18 22:40:03+00,EVENING,OTHERS,THEFT/OTHER,4227 - 4399 BLOCK OF CONNECTICUT AVENUE NW,394459.18,141888.04,3,3F,2,203,Cluster 12,001303 1,001303,Precinct 34,38.9448686362,-77.0639158491,,2024/11/18 22:07:00+00,2024/11/18 22:07:00+00,679449116,
393720.859999999,140689.0,24074542,2024/05/18 16:39:42+00,DAY,OTHERS,THEFT/OTHER,3300 - 3399 BLOCK OF WISCONSIN AVENUE NW,393720.86,140689,3,3A,2,204,Cluster 14,001002 4,001002,Precinct 29,38.9340623694,-77.0724217259,,2024/05/18 15:15:00+00,2024/05/18 15:25:00+00,679449118,
399930.5,143088.280000001,24075222,2024/05/20 02:29:20+00,EVENING,OTHERS,THEFT/OTHER,5500 - 5529 BLOCK OF SOUTH DAKOTA AVENUE NE,399930.5,143088.28,4,4B,4,406,Cluster 19,009507 1,009507,Precinct 65,38.9556981975,-77.0008018355,,2024/05/19 21:10:00+00,2024/05/20 00:12:00+00,679449119,
397431.219999999,138854.609999999,24079135,2024/05/26 10:13:12+00,MIDNIGHT,GUN,ROBBERY,2000 - 2099 BLOCK OF 13TH STREET NW,397431.22,138854.61,1,1B,3,305,Cluster 3,004401 2,004401,Precinct 22,38.9175562877,-77.0296206817,,2024/05/26 08:34:00+00,2024/05/26 10:08:00+00,679449120,
400530.262699999,132799.056600001,24080364,2024/05/28 16:07:17+00,DAY,OTHERS,THEFT F/AUTO,2400 - 2499 BLOCK OF SHANNON PLACE SE,400530.262718445,132799.056568668,8,8A,7,703,Cluster 37,007401 1,007401,Precinct 119,38.863009194,-76.9938901974,ANACOSTIA,2024/05/28 15:15:00+00,2024/05/28 15:25:00+00,679449121,
